1,39.7,33.5,8.5
2,44.9,45.9,25.8
3,23.1,45.5,31.6
4,13.35,11.56,8.57
5,31.1,3.1,5.2
6,2.1,61.1,16.5
7,8.1,19.5,14.4
8,0.2,54.6,30.8
9,7.8,34.4,25.2
10,11.6,26.0,16.2
11,26.2,60.1,71.6
12,13.7,27.1,35.3
13,8.8,30.77,30.56
14,3.5,53.8,29.4
15,2.3,42.7,16.2
16,20.76,26.96,29.65
17,26.9,47.8,15.4
18,12.08,43.06,64.07
19,31.7,44.9,12.1
20,23.9,54.3,11.8
21,88.4,42.4,17.8
22,10.5,5.4,2.8
23,110.71,20.06,11.32
24,47.83,21.43,17.45
25,34.6,8.3,5.5
26,13.4,10.0,2.8
27,14.7,6.1,2.4
28,2.8,2.8,1.8
29,10.1,22.0,3.1
30,23.4,74.6,35.7
31,16.7,49.3,5.4
32,7.8,14.2,4.0
33,7.7,18.1,5.3
34,17.26,43.52,33.02
35,11.0,6.7,3.1
36,13.0,13.7,4.2
37,13.5,11.9,5.9
38,19.2,24.6,7.7
39,0.24,13.18,4.27
40,11.6,19.7,4.7
41,5.7,24.5,6.8
42,26.17,10.99,12.01
43,19.15,21.63,20.35
44,89.7,6.8,8.5
45,26.23,20.66,23.49
46,55.3,34.4,18.9
47,82.5,34.3,12.3
48,14.7,29.1,9.8
49,58.3,45.7,5.6
50,15.8,49.1,29.2
51,13.4,6.2,1.4
52,10.93,1.58,0.61
53,2.61,1.07,0.33
54,2.24,1.02,1.83
55,3.31,1.38,6.15
56,0.94,1.68,1.65
57,74.22,4.44,0.54
58,74.03,3.51,0.46
59,48.99,5.45,0.25
60,48.08,7.74,2.53
61,21.62,6.19,6.29
62,53.01,3.53,0.31
63,44.96,4.93,2.74
64,41.66,5.24,0.75
65,42.1,5.73,6.29
66,43.03,6.7,0.59
67,47.54,5.47,0.61
68,57.89,3.36,0.4
69,43.94,3.64,0.29
70,65.61,3.27,0.15
71,134.22,22.33,22.03
72,115.69,32.87,9.61
73,89.79,37.82,10.72
74,86.2,13.8,16.9
75,99.14,15.55,4.6
76,52.0,12.9,4.8
77,94.7,42.2,12.8
78,59.8,17.6,16.5
79,109.8,20.0,5.8
80,105.9,47.94,8.48
81,126.53,33.64,18.14
82,101.73,39.63,10.77
83,55.1,15.6,4.2
84,69.6,15.0,10.2
85,97.52,20.84,5.78
86,89.42,19.56,23.43
87,111.6,11.2,8.3
88,74.2,13.39,7.91
89,85.37,29.45,21.02
90,128.18,37.46,7.37
91,133.63,19.77,20.32
92,92.0,21.3,26.3
93,80.0,16.8,23.0
94,73.76,21.79,50.59
95,93.2,24.35,19.15
96,123.9,22.8,4.61
97,86.97,30.39,49.79
98,87.24,27.97,13.73
99,15.69,7.08,1.97
100,14.3,2.6,1.8
101,2.8,0.5,0.8
102,23.8,4.0,2.8
103,43.4,4.3,2.8
104,10.38,0.29,0.32
105,46.0,29.8,33.0
106,45.9,22.6,4.6
107,6.6,4.5,5.7
108,8.7,4.5,8.5
109,10.9,2.75,0.15
110,22.7,2.9,5.2
111,12.26,3.55,3.81
112,25.95,17.85,2.63
113,34.11,3.66,1.58
114,98.9,10.3,9.5
115,58.6,27.6,8.2
116,78.75,17.43,1.34
117,74.7,66.4,38.6
118,73.95,26.96,19.04
119,90.7,16.6,13.1
120,54.3,9.0,6.6
121,128.6,14.8,7.7
122,81.78,14.61,0.74
123,98.7,24.6,22.0
124,85.75,26.24,26.46
125,78.42,16.8,0.75
126,96.28,14.47,18.17
127,61.45,9.62,13.52
128,77.55,27.07,3.92
129,76.43,25.42,6.06
130,42.6,21.8,8.1
131,62.52,15.98,9.63
132,95.6,18.21,14.06
133,32.55,4.0,1.67
134,80.2,11.9,15.9
135,74.32,18.57,15.4
136,71.04,18.88,9.74
137,82.32,11.95,1.3
138,120.06,15.24,22.28
139,104.94,44.12,20.14
140,97.35,30.09,22.98
141,80.68,16.52,10.83
142,102.93,29.2,16.73
143,31.95,3.94,3.2
144,109.16,23.43,5.96
145,89.23,12.33,9.05
146,77.92,13.71,0.85
147,100.45,42.04,22.44
148,90.46,25.11,27.0
149,103.3,30.21,16.55
150,11.5,7.5,14.4
151,18.21,22.96,20.67
152,24.5,25.8,16.7
153,14.08,19.47,17.12
154,7.6,3.5,7.0
155,3.41,4.65,2.24
156,31.8,18.8,29.9
157,76.7,20.7,21.3
158,11.0,4.5,8.3
159,20.5,25.6,19.9
160,22.83,18.33,5.2
161,15.8,4.5,6.7
162,32.2,38.2,15.3
163,42.16,6.31,9.27
164,46.8,5.13,1.64
165,27.74,4.91,11.04
166,61.2,27.4,16.7
167,36.5,23.3,35.1
168,39.95,3.53,3.68
169,31.19,7.13,16.38
170,43.6,5.32,24.96
171,28.64,7.23,20.63
172,71.2,31.4,15.8
173,32.52,5.99,18.4
174,70.3,29.4,14.8
175,71.6,28.0,25.5
176,20.34,0.6,5.47
177,24.32,2.3,2.63
178,5.4,1.0,0.5
179,10.5,1.3,0.9
180,17.43,0.5,0.13
181,5.03,0.44,0.23
182,0.0,57.72,30.43
183,2.83,13.14,1.28
184,0.0,30.08,7.42
185,7.33,48.41,25.57
